# Shock hugoniot for sesame material number 7361
#   fused quartz (z=10.0, a=20.028) -   2.204 - 301                                                   
# Polar curve for this state :
#   rho(g/cm3) =  2.20399400E+00
#   P(Mbar)    =  1.55551218E-05
#   T(eV)      =  2.58509263E-02
#   E(KJ/g)    =  1.51158805E-03

#R(g/cm3) P-P0(Mbar) E(KJ/g) T(eV) Us(km/s) Up(km/s) 
+4.61578473E+00 +1.00147599E+00 +1.18728842E+01 +7.83691356E-01 +9.32533961E+00 +4.87257724E+00
+4.62480836E+00 +1.02149556E+00 +1.21317802E+01 +7.98197741E-01 +9.40970176E+00 +4.92542379E+00
+4.63590121E+00 +1.04151503E+00 +1.23964516E+01 +8.14417050E-01 +9.49112972E+00 +4.97886942E+00
+4.64759302E+00 +1.06153455E+00 +1.26635003E+01 +8.33325538E-01 +9.57100966E+00 +5.03221985E+00
+4.65942533E+00 +1.08155407E+00 +1.29318382E+01 +8.55206724E-01 +9.64979466E+00 +5.08526406E+00
+4.67123258E+00 +1.10157359E+00 +1.32010541E+01 +8.79893854E-01 +9.72766618E+00 +5.13793156E+00
+4.68294694E+00 +1.12159311E+00 +1.34709652E+01 +9.06943840E-01 +9.80471395E+00 +5.19019856E+00
+4.69454020E+00 +1.14161263E+00 +1.37414815E+01 +9.35774994E-01 +9.88098976E+00 +5.24206002E+00
+4.70603486E+00 +1.16163215E+00 +1.40126447E+01 +9.65369907E-01 +9.95649707E+00 +5.29353548E+00
+4.71740588E+00 +1.18165167E+00 +1.42843714E+01 +9.94519345E-01 +1.00312826E+01 +5.34462062E+00
+4.72861601E+00 +1.20167118E+00 +1.45565435E+01 +1.02246970E+00 +1.01054033E+01 +5.39530458E+00
+4.73966625E+00 +1.22169081E+00 +1.48291426E+01 +1.04871869E+00 +1.01788803E+01 +5.44559530E+00
+4.75055908E+00 +1.24171032E+00 +1.51021527E+01 +1.07296901E+00 +1.02517308E+01 +5.49550048E+00
+4.76132651E+00 +1.26172985E+00 +1.53756420E+01 +1.09479459E+00 +1.03239452E+01 +5.54504308E+00
+4.77210462E+00 +1.28174937E+00 +1.56499768E+01 +1.11434969E+00 +1.03954150E+01 +5.59429807E+00
+4.78287106E+00 +1.30176889E+00 +1.59250889E+01 +1.13272697E+00 +1.04661791E+01 +5.64326089E+00
+4.79362622E+00 +1.32178841E+00 +1.62009728E+01 +1.15008623E+00 +1.05362544E+01 +5.69193815E+00
+4.80437051E+00 +1.34180793E+00 +1.64776233E+01 +1.16655989E+00 +1.06056572E+01 +5.74033618E+00
+4.81510426E+00 +1.36182746E+00 +1.67550351E+01 +1.18225590E+00 +1.06744031E+01 +5.78846107E+00
+4.82582781E+00 +1.38184698E+00 +1.70332028E+01 +1.19726012E+00 +1.07425073E+01 +5.83631867E+00
+4.83654146E+00 +1.40186650E+00 +1.73121214E+01 +1.21163840E+00 +1.08099844E+01 +5.88391462E+00
+4.84724548E+00 +1.42188602E+00 +1.75917855E+01 +1.22543826E+00 +1.08768485E+01 +5.93125434E+00
+4.85794013E+00 +1.44190554E+00 +1.78721899E+01 +1.23869034E+00 +1.09431131E+01 +5.97834304E+00
+4.86862565E+00 +1.46192506E+00 +1.81533295E+01 +1.25140962E+00 +1.10087914E+01 +6.02518575E+00
+4.87930226E+00 +1.48194458E+00 +1.84351993E+01 +1.26359638E+00 +1.10738961E+01 +6.07178734E+00
+4.88997021E+00 +1.50196410E+00 +1.87177930E+01 +1.27523704E+00 +1.11384395E+01 +6.11815249E+00
+4.90062962E+00 +1.52198362E+00 +1.90011078E+01 +1.28630498E+00 +1.12024335E+01 +6.16428570E+00
+4.91128073E+00 +1.54200314E+00 +1.92851377E+01 +1.29676080E+00 +1.12658895E+01 +6.21019134E+00
+4.92192373E+00 +1.56202265E+00 +1.95698779E+01 +1.30655298E+00 +1.13288187E+01 +6.25587367E+00
+4.93255883E+00 +1.58204217E+00 +1.98553234E+01 +1.31561814E+00 +1.13912317E+01 +6.30133677E+00
+4.94318624E+00 +1.60206169E+00 +2.01414698E+01 +1.32388122E+00 +1.14531391E+01 +6.34658462E+00
+4.95387602E+00 +1.62208122E+00 +2.04285432E+01 +1.33022714E+00 +1.15144858E+01 +6.39165721E+00
+4.96469097E+00 +1.64210074E+00 +2.07167533E+01 +1.33394657E+00 +1.15752233E+01 +6.43659074E+00
+4.97559621E+00 +1.66212026E+00 +2.10059874E+01 +1.33587953E+00 +1.16353942E+01 +6.48137084E+00
+4.98657192E+00 +1.68213978E+00 +2.12961816E+01 +1.33648361E+00 +1.16950264E+01 +6.52599072E+00
+4.99760516E+00 +1.70215929E+00 +2.15872921E+01 +1.33601423E+00 +1.17541412E+01 +6.57044705E+00
+5.00867685E+00 +1.72217881E+00 +2.18792528E+01 +1.33477165E+00 +1.18127655E+01 +6.61473314E+00
+5.01977174E+00 +1.74219832E+00 +2.21720093E+01 +1.33295531E+00 +1.18709220E+01 +6.65884420E+00
+5.03087759E+00 +1.76221783E+00 +2.24655158E+01 +1.33070066E+00 +1.19286305E+01 +6.70277687E+00
+5.04198446E+00 +1.78223734E+00 +2.27597338E+01 +1.32810306E+00 +1.19859084E+01 +6.74652889E+00
+5.05308428E+00 +1.80225685E+00 +2.30546299E+01 +1.32523159E+00 +1.20427710E+01 +6.79009889E+00
+5.06417043E+00 +1.82227636E+00 +2.33501756E+01 +1.32213753E+00 +1.20992321E+01 +6.83348614E+00
+5.07523746E+00 +1.84229586E+00 +2.36463458E+01 +1.31885975E+00 +1.21553040E+01 +6.87669048E+00
+5.08628091E+00 +1.86231537E+00 +2.39431187E+01 +1.31542828E+00 +1.22109981E+01 +6.91971216E+00
+5.09729711E+00 +1.88233488E+00 +2.42404749E+01 +1.31186663E+00 +1.22663246E+01 +6.96255179E+00
+5.10828306E+00 +1.90235438E+00 +2.45383971E+01 +1.30819352E+00 +1.23212931E+01 +7.00521024E+00
+5.11923636E+00 +1.92237395E+00 +2.48368703E+01 +1.30442402E+00 +1.23759126E+01 +7.04768878E+00
+5.13015489E+00 +1.94239342E+00 +2.51358794E+01 +1.30057040E+00 +1.24301908E+01 +7.08998829E+00
+5.14103719E+00 +1.96241294E+00 +2.54354137E+01 +1.29664276E+00 +1.24841357E+01 +7.13211058E+00
+5.15188199E+00 +1.98243246E+00 +2.57354612E+01 +1.29264948E+00 +1.25377543E+01 +7.17405708E+00
+5.16268835E+00 +2.00245198E+00 +2.60360118E+01 +1.28859759E+00 +1.25910535E+01 +7.21582947E+00
+5.17345560E+00 +2.02247150E+00 +2.63370563E+01 +1.28449302E+00 +1.26440393E+01 +7.25742948E+00
+5.18422728E+00 +2.04249102E+00 +2.66387537E+01 +1.28027115E+00 +1.26966780E+01 +7.29888186E+00
+5.19515126E+00 +2.06251054E+00 +2.69416654E+01 +1.27536900E+00 +1.27488415E+01 +7.34026555E+00
+5.20610928E+00 +2.08253006E+00 +2.72453426E+01 +1.26983215E+00 +1.28006426E+01 +7.38152094E+00
+5.21706024E+00 +2.10254958E+00 +2.75496247E+01 +1.26383410E+00 +1.28521237E+01 +7.42262853E+00
+5.22798682E+00 +2.12256910E+00 +2.78544402E+01 +1.25751208E+00 +1.29033057E+01 +7.46358115E+00
+5.23888025E+00 +2.14258862E+00 +2.81597491E+01 +1.25097531E+00 +1.29542014E+01 +7.50437607E+00
+5.24973568E+00 +2.16260814E+00 +2.84655267E+01 +1.24431099E+00 +1.30048197E+01 +7.54501253E+00
+5.26054605E+00 +2.18262766E+00 +2.87717391E+01 +1.23758742E+00 +1.30551718E+01 +7.58548861E+00
+5.27129055E+00 +2.20264718E+00 +2.90782972E+01 +1.23086524E+00 +1.31052806E+01 +7.62579519E+00
+5.28197980E+00 +2.22266670E+00 +2.93852356E+01 +1.22418928E+00 +1.31551411E+01 +7.66593947E+00
+5.29262556E+00 +2.24268622E+00 +2.96925948E+01 +1.21759138E+00 +1.32047468E+01 +7.70592920E+00
+5.30323634E+00 +2.26270574E+00 +3.00004025E+01 +1.21109515E+00 +1.32540946E+01 +7.74577040E+00
+5.31381809E+00 +2.28272526E+00 +3.03086774E+01 +1.20471770E+00 +1.33031831E+01 +7.78546773E+00
+5.32437477E+00 +2.30274478E+00 +3.06174294E+01 +1.19847094E+00 +1.33520129E+01 +7.82502476E+00
+5.33490878E+00 +2.32276450E+00 +3.09266680E+01 +1.19236242E+00 +1.34005865E+01 +7.86444457E+00
+5.34542098E+00 +2.34278402E+00 +3.12363858E+01 +1.18639654E+00 +1.34489058E+01 +7.90372840E+00
+5.35591148E+00 +2.36280353E+00 +3.15465812E+01 +1.18057471E+00 +1.34969752E+01 +7.94287808E+00
+5.36637209E+00 +2.38282305E+00 +3.18572159E+01 +1.17486302E+00 +1.35448054E+01 +7.98189077E+00
+5.37681343E+00 +2.40284257E+00 +3.21683291E+01 +1.16920625E+00 +1.35923909E+01 +8.02077334E+00
+5.38718212E+00 +2.42286208E+00 +3.24796933E+01 +1.16375821E+00 +1.36397819E+01 +8.05949950E+00
+5.39750417E+00 +2.44288160E+00 +3.27914106E+01 +1.15844616E+00 +1.36869589E+01 +8.09808407E+00
+5.40778528E+00 +2.46290112E+00 +3.31034985E+01 +1.15327538E+00 +1.37339204E+01 +8.13653131E+00
+5.41802266E+00 +2.48292063E+00 +3.34159416E+01 +1.14825960E+00 +1.37806718E+01 +8.17484107E+00
+5.42821262E+00 +2.50294015E+00 +3.37287181E+01 +1.14341457E+00 +1.38272197E+01 +8.21301270E+00
+5.43835035E+00 +2.52295966E+00 +3.40418014E+01 +1.13875838E+00 +1.38735712E+01 +8.25104496E+00
+5.44842969E+00 +2.54297918E+00 +3.43551586E+01 +1.13431192E+00 +1.39197348E+01 +8.28893587E+00
+5.45844264E+00 +2.56299869E+00 +3.46687516E+01 +1.13009947E+00 +1.39657201E+01 +8.32668252E+00
+5.46837891E+00 +2.58301820E+00 +3.49825274E+01 +1.12614957E+00 +1.40115390E+01 +8.36428077E+00
+5.47822466E+00 +2.60303771E+00 +3.52964221E+01 +1.12249602E+00 +1.40572061E+01 +8.40172466E+00
+5.48796097E+00 +2.62305722E+00 +3.56103395E+01 +1.11917964E+00 +1.41027403E+01 +8.43900558E+00
+5.49756004E+00 +2.64307673E+00 +3.59241560E+01 +1.11625048E+00 +1.41481679E+01 +8.47611033E+00
+5.50698929E+00 +2.66309624E+00 +3.62377156E+01 +1.11373834E+00 +1.41935194E+01 +8.51302325E+00
+5.51632099E+00 +2.68311575E+00 +3.65513263E+01 +1.11151825E+00 +1.42387349E+01 +8.54978273E+00
+5.52557042E+00 +2.70313527E+00 +3.68650471E+01 +1.10963971E+00 +1.42838036E+01 +8.58639772E+00
+5.53472511E+00 +2.72315478E+00 +3.71788163E+01 +1.10829904E+00 +1.43287386E+01 +8.62286283E+00
+5.54378200E+00 +2.74317429E+00 +3.74926130E+01 +1.10744199E+00 +1.43735448E+01 +8.65917753E+00
+5.55276221E+00 +2.76319381E+00 +3.78065239E+01 +1.10693986E+00 +1.44182065E+01 +8.69535372E+00
+5.56166366E+00 +2.78321332E+00 +3.81205334E+01 +1.10680612E+00 +1.44627276E+01 +8.73139131E+00
+5.57048368E+00 +2.80323284E+00 +3.84346228E+01 +1.10705617E+00 +1.45071127E+01 +8.76728991E+00
+5.57921875E+00 +2.82325235E+00 +3.87487698E+01 +1.10770763E+00 +1.45513670E+01 +8.80304866E+00
+5.58786416E+00 +2.84327186E+00 +3.90629466E+01 +1.10878070E+00 +1.45954966E+01 +8.83866609E+00
+5.59641340E+00 +2.86329138E+00 +3.93771163E+01 +1.11029852E+00 +1.46395091E+01 +8.87413976E+00
+5.60485695E+00 +2.88331089E+00 +3.96912267E+01 +1.11228761E+00 +1.46834146E+01 +8.90946569E+00
+5.61317967E+00 +2.90333041E+00 +4.00052042E+01 +1.11477820E+00 +1.47272279E+01 +8.94463697E+00
+5.62135489E+00 +2.92334992E+00 +4.03189131E+01 +1.11780431E+00 +1.47709736E+01 +8.97964075E+00
+5.62931546E+00 +2.94336943E+00 +4.06320333E+01 +1.12144466E+00 +1.48147102E+01 +9.01444327E+00
+5.63707490E+00 +2.96338894E+00 +4.09446142E+01 +1.12577663E+00 +1.48584281E+01 +9.04905235E+00
+5.64473892E+00 +2.98340846E+00 +4.12571376E+01 +1.13060201E+00 +1.49020396E+01 +9.08352323E+00
+5.65230927E+00 +3.00342798E+00 +4.15696035E+01 +1.13590988E+00 +1.49455450E+01 +9.11785763E+00
+5.65978703E+00 +3.02344749E+00 +4.18820140E+01 +1.14168967E+00 +1.49889454E+01 +9.15205690E+00
+5.66717280E+00 +3.04346701E+00 +4.21943615E+01 +1.14793094E+00 +1.50322419E+01 +9.18612213E+00
+5.67446638E+00 +3.06348653E+00 +4.25066383E+01 +1.15462348E+00 +1.50754366E+01 +9.22005397E+00
+5.68166670E+00 +3.08350604E+00 +4.28188354E+01 +1.16175728E+00 +1.51185321E+01 +9.25385263E+00
+5.68877196E+00 +3.10352583E+00 +4.31309399E+01 +1.16932244E+00 +1.51615323E+01 +9.28751831E+00
+5.69577896E+00 +3.12354533E+00 +4.34429223E+01 +1.17730879E+00 +1.52044404E+01 +9.32104925E+00
+5.70268367E+00 +3.14356482E+00 +4.37547590E+01 +1.18570637E+00 +1.52472619E+01 +9.35444449E+00
+5.70948048E+00 +3.16358432E+00 +4.40664165E+01 +1.19450499E+00 +1.52900035E+01 +9.38770184E+00
+5.71616229E+00 +3.18360382E+00 +4.43778512E+01 +1.20369412E+00 +1.53326725E+01 +9.42081828E+00
+5.72272001E+00 +3.20362331E+00 +4.46890137E+01 +1.21326293E+00 +1.53752784E+01 +9.45378979E+00
+5.72914255E+00 +3.22364281E+00 +4.49998398E+01 +1.22319993E+00 +1.54178320E+01 +9.48661123E+00
+5.73541629E+00 +3.24366231E+00 +4.53102529E+01 +1.23349289E+00 +1.54603463E+01 +9.51927616E+00
+5.74152467E+00 +3.26368181E+00 +4.56201630E+01 +1.24412875E+00 +1.55028369E+01 +9.55177659E+00
+5.74744786E+00 +3.28370131E+00 +4.59294569E+01 +1.25509310E+00 +1.55453219E+01 +9.58410276E+00
+5.75299577E+00 +3.30372078E+00 +4.62371773E+01 +1.26715944E+00 +1.55879628E+01 +9.61615648E+00
+5.75791762E+00 +3.32374028E+00 +4.65420422E+01 +1.28034094E+00 +1.56309725E+01 +9.64780776E+00
+5.76253251E+00 +3.34375979E+00 +4.68456168E+01 +1.29392429E+00 +1.56740844E+01 +9.67922225E+00
+5.76696584E+00 +3.36377931E+00 +4.71485144E+01 +1.30782892E+00 +1.57171947E+01 +9.71046539E+00
+5.77127923E+00 +3.38379883E+00 +4.74510352E+01 +1.32198742E+00 +1.57602532E+01 +9.74156965E+00
+5.77550832E+00 +3.40381834E+00 +4.77533523E+01 +1.33634599E+00 +1.58032314E+01 +9.77255407E+00
+5.77967572E+00 +3.42383786E+00 +4.80555755E+01 +1.35086169E+00 +1.58461117E+01 +9.80343098E+00
+5.78379681E+00 +3.44385770E+00 +4.83577837E+01 +1.36550010E+00 +1.58888833E+01 +9.83420943E+00
+5.78788243E+00 +3.46387722E+00 +4.86600205E+01 +1.38023238E+00 +1.59315369E+01 +9.86489474E+00
+5.79194090E+00 +3.48389673E+00 +4.89623306E+01 +1.39503511E+00 +1.59740677E+01 +9.89549232E+00
+5.79597871E+00 +3.50391625E+00 +4.92647456E+01 +1.40988820E+00 +1.60164714E+01 +9.92600615E+00
+5.80000120E+00 +3.52393578E+00 +4.95672917E+01 +1.42477430E+00 +1.60587448E+01 +9.95643962E+00
+5.80401296E+00 +3.54395530E+00 +4.98699918E+01 +1.43967811E+00 +1.61008852E+01 +9.98679575E+00
+5.80801814E+00 +3.56397482E+00 +5.01728660E+01 +1.45458586E+00 +1.61428904E+01 +1.00170773E+01
+5.81200377E+00 +3.58399434E+00 +5.04758451E+01 +1.46955850E+00 +1.61847726E+01 +1.00472780E+01
+5.81597216E+00 +3.60401386E+00 +5.07789398E+01 +1.48455766E+00 +1.62265311E+01 +1.00773997E+01
+5.81995208E+00 +3.62403339E+00 +5.10823023E+01 +1.49948265E+00 +1.62681426E+01 +1.01074581E+01
+5.82395450E+00 +3.64405258E+00 +5.13859866E+01 +1.51432001E+00 +1.63095980E+01 +1.01374591E+01
+5.82798819E+00 +3.66407210E+00 +5.16900510E+01 +1.52906024E+00 +1.63508926E+01 +1.01674090E+01
+5.83205920E+00 +3.68409162E+00 +5.19945254E+01 +1.54369794E+00 +1.63920213E+01 +1.01973111E+01
+5.83617031E+00 +3.70411114E+00 +5.22994265E+01 +1.55823596E+00 +1.64329830E+01 +1.02271676E+01
+5.84031869E+00 +3.72413066E+00 +5.26047415E+01 +1.57269212E+00 +1.64737811E+01 +1.02569774E+01
+5.84448994E+00 +3.74415018E+00 +5.29103928E+01 +1.58711437E+00 +1.65144288E+01 +1.02867336E+01
+5.84863792E+00 +3.76417004E+00 +5.32161329E+01 +1.60159649E+00 +1.65549674E+01 +1.03164125E+01
+5.85255813E+00 +3.78418949E+00 +5.35208193E+01 +1.61659523E+00 +1.65955717E+01 +1.03459045E+01
+5.85631541E+00 +3.80420898E+00 +5.38248029E+01 +1.63221858E+00 +1.66361883E+01 +1.03752449E+01
+5.85997465E+00 +3.82422848E+00 +5.41284331E+01 +1.64824805E+00 +1.66767628E+01 +1.04044686E+01
+5.86356056E+00 +3.84424798E+00 +5.44318414E+01 +1.66456950E+00 +1.67172754E+01 +1.04335892E+01
+5.86708818E+00 +3.86426749E+00 +5.47351071E+01 +1.68110832E+00 +1.67577142E+01 +1.04626151E+01
+5.87056831E+00 +3.88428700E+00 +5.50382862E+01 +1.69781039E+00 +1.67980709E+01 +1.04915524E+01
+5.87400918E+00 +3.90430652E+00 +5.53414223E+01 +1.71463439E+00 +1.68383396E+01 +1.05204061E+01
+5.87741735E+00 +3.92432603E+00 +5.56445495E+01 +1.73154774E+00 +1.68785156E+01 +1.05491800E+01
+5.88079809E+00 +3.94434555E+00 +5.59476953E+01 +1.74852425E+00 +1.69185955E+01 +1.05778774E+01
+5.88415572E+00 +3.96436507E+00 +5.62508824E+01 +1.76554258E+00 +1.69585764E+01 +1.06065010E+01
+5.88749379E+00 +3.98438458E+00 +5.65541293E+01 +1.78258517E+00 +1.69984562E+01 +1.06350532E+01
+5.89081527E+00 +4.00440410E+00 +5.68574515E+01 +1.79963746E+00 +1.70382333E+01 +1.06635361E+01
+5.89412262E+00 +4.02442362E+00 +5.71608618E+01 +1.81668732E+00 +1.70779066E+01 +1.06919513E+01
+5.89741790E+00 +4.04444314E+00 +5.74643711E+01 +1.83372460E+00 +1.71174750E+01 +1.07203004E+01
+5.90070283E+00 +4.06446266E+00 +5.77679883E+01 +1.85074079E+00 +1.71569381E+01 +1.07485847E+01
+5.90397888E+00 +4.08448218E+00 +5.80717210E+01 +1.86772872E+00 +1.71962953E+01 +1.07768056E+01
+5.90724725E+00 +4.10450170E+00 +5.83755754E+01 +1.88468238E+00 +1.72355466E+01 +1.08049640E+01
+5.91050897E+00 +4.12452122E+00 +5.86795567E+01 +1.90159672E+00 +1.72746919E+01 +1.08330610E+01
+5.91376488E+00 +4.14454075E+00 +5.89836693E+01 +1.91846753E+00 +1.73137312E+01 +1.08610973E+01
+5.91701567E+00 +4.16456027E+00 +5.92879166E+01 +1.93529127E+00 +1.73526648E+01 +1.08890738E+01
+5.92026194E+00 +4.18457979E+00 +5.95923017E+01 +1.95206506E+00 +1.73914930E+01 +1.09169913E+01
+5.92350415E+00 +4.20459931E+00 +5.98968265E+01 +1.96878648E+00 +1.74302162E+01 +1.09448503E+01
+5.92674268E+00 +4.22461883E+00 +6.02014929E+01 +1.98545361E+00 +1.74688348E+01 +1.09726515E+01
+5.92997782E+00 +4.24463835E+00 +6.05063021E+01 +2.00206492E+00 +1.75073494E+01 +1.10003954E+01
+5.93320980E+00 +4.26465787E+00 +6.08112550E+01 +2.01861923E+00 +1.75457605E+01 +1.10280825E+01
+5.93643877E+00 +4.28467739E+00 +6.11163521E+01 +2.03511567E+00 +1.75840688E+01 +1.10557134E+01
+5.93966484E+00 +4.30469691E+00 +6.14215936E+01 +2.05155362E+00 +1.76222748E+01 +1.10832884E+01
+5.94288807E+00 +4.32471644E+00 +6.17269794E+01 +2.06793273E+00 +1.76603794E+01 +1.11108079E+01
+5.94610847E+00 +4.34473596E+00 +6.20325091E+01 +2.08425285E+00 +1.76983831E+01 +1.11382724E+01
+5.94932600E+00 +4.36475548E+00 +6.23381820E+01 +2.10051402E+00 +1.77362869E+01 +1.11656821E+01
+5.95254062E+00 +4.38477500E+00 +6.26439974E+01 +2.11671646E+00 +1.77740913E+01 +1.11930374E+01
+5.95574877E+00 +4.40479452E+00 +6.29499327E+01 +2.13289938E+00 +1.78118004E+01 +1.12203368E+01
+5.95894547E+00 +4.42481404E+00 +6.32559564E+01 +2.14906659E+00 +1.78494190E+01 +1.12475777E+01
+5.96213074E+00 +4.44483355E+00 +6.35620674E+01 +2.16521566E+00 +1.78869481E+01 +1.12747606E+01
+5.96530462E+00 +4.46485307E+00 +6.38682651E+01 +2.18134705E+00 +1.79243881E+01 +1.13018857E+01
+5.96846716E+00 +4.48487259E+00 +6.41745488E+01 +2.19746114E+00 +1.79617398E+01 +1.13289535E+01
+5.97161841E+00 +4.50489211E+00 +6.44809177E+01 +2.21355831E+00 +1.79990037E+01 +1.13559643E+01
